2021-11-17 18:26:18,877 [main] INFO  [c.a.n.client.config.impl.LocalConfigInfoProcessor] LocalConfigInfoProcessor.java:195 - LOCAL_SNAPSHOT_PATH:C:\Users\Administrator\nacos\config
2021-11-17 18:26:18,901 [main] INFO  [com.alibaba.nacos.client.config.impl.Limiter] Limiter.java:53 - limitTime:5.0
2021-11-17 18:26:18,929 [main] INFO  [com.alibaba.nacos.client.config.utils.JVMUtil] JVMUtil.java:47 - isMultiInstance:false
2021-11-17 18:26:18,971 [main] WARN  [c.a.cloud.nacos.client.NacosPropertySourceBuilder] NacosPropertySourceBuilder.java:87 - Ignore the empty nacos configuration and get it based on dataId[fx-uaa-server] & group[DEFAULT_GROUP]
2021-11-17 18:26:18,975 [main] WARN  [c.a.cloud.nacos.client.NacosPropertySourceBuilder] NacosPropertySourceBuilder.java:87 - Ignore the empty nacos configuration and get it based on dataId[fx-uaa-server.properties] & group[DEFAULT_GROUP]
2021-11-17 18:26:18,976 [main] INFO  [o.s.c.b.c.PropertySourceBootstrapConfiguration] PropertySourceBootstrapConfiguration.java:112 - Located property source: [BootstrapPropertySource {name='bootstrapProperties-fx-uaa-server.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-fx-uaa-server,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-rabbitmq.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-redis.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-dms_base_db.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common.properties,DEFAULT_GROUP'}]
2021-11-17 18:26:18,981 [main] INFO  [com.fx.cloud.uaa.server.FxUaaServerApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2021-11-17 18:26:20,083 [main] WARN  [o.springframework.boot.actuate.endpoint.EndpointId] EndpointId.java:155 - Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
2021-11-17 18:26:20,087 [main] WARN  [o.springframework.boot.actuate.endpoint.EndpointId] EndpointId.java:155 - Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
2021-11-17 18:26:20,399 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-11-17 18:26:20,402 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-11-17 18:26:20,430 [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:187 - Finished Spring Data repository scanning in 16ms. Found 0 Redis repository interfaces.
2021-11-17 18:26:20,519 [main] WARN  [o.springframework.boot.actuate.endpoint.EndpointId] EndpointId.java:155 - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-11-17 18:26:20,729 [main] INFO  [o.springframework.cloud.context.scope.GenericScope] GenericScope.java:295 - BeanFactory id=a4eb91c7-58c5-3a3d-b141-c34708a2c331
2021-11-17 18:26:21,281 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:108 - Tomcat initialized with port(s): 9997 (http)
2021-11-17 18:26:21,293 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] DirectJDKLog.java:173 - Initializing ProtocolHandler ["http-nio-9997"]
2021-11-17 18:26:21,293 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
